Player,Pos,GS,GP,Total Mins,Total Points,MPG,PPG,FG%,Salaries,GS/GP
Tina Charles,C,32,27,900,631,33.3,23.4,44.9,108000,1
Brittney Griner,C,32,30,983,615,32.8,20.5,57.5,227900,1
Arike Ogunbowale,G,32,32,1003,599,31.3,18.7,38.3,72141,1
A'ja Wilson,F,32,32,1021,584,31.9,18.3,44.4,196267,1
Kelsey Mitchell,G,32,32,1059,569,33.1,17.8,43.1,200000,1
Breanna Stewart,F,32,28,934,569,33.4,20.3,43.9,228094,1
Skylar Diggins-Smith,G,19,32,1040,566,32.5,17.7,45,227900,0.59375
Jewell Loyd,G,19,31,962,555,31,17.9,42,228094,0.612903226
Betnijah Laney,G,32,32,1079,536,33.7,16.8,45.1,196267,1
Courtney Williams,G,32,32,1101,529,34.4,16.5,41.8,103000,1
Jonquel Jones,F,32,27,856,523,31.7,19.4,51.5,205000,1
Sylvia Fowles,C,19,31,934,496,30.1,16,64,200000,0.612903226
DeWanna Bonner,G,19,32,1022,486,31.9,15.2,39.5,227900,0.59375
Ariel Atkins,G,19,30,918,486,30.6,16.2,40.7,170000,0.633333333
Brionna Jones,C,11,32,980,470,30.6,14.7,57.1,120000,0.34375
Napheesa Collier,F,32,29,1003,469,34.6,16.2,44.1,72141,1
Kahleah Copper,G,32,32,986,462,30.8,14.4,45.9,200000,1
Kayla McBride,G,11,32,1010,438,31.6,13.7,43.3,196267,0.34375
Erica Wheeler,G,19,32,967,434,30.2,13.6,41.7,185400,0.59375
Marina Mabrey,G,19,32,773,424,24.2,13.3,40.5,72141,0.59375
Jackie Young,G,11,32,1016,390,31.8,12.2,50.7,72141,0.34375
Kelsey Plum,G,19,26,665,385,25.6,14.8,43.7,180250,0.730769231
Diamond DeShields,G,11,32,860,361,26.9,11.3,39.3,150000,0.34375
Teaira McCowan,C,11,32,848,361,26.5,11.3,53.7,72141,0.34375
Liz Cambage,C,11,25,595,356,23.8,14.2,54.3,170000,0.44
Chelsea Gray,G,21,32,926,355,28.9,11.1,45.4,196267,0.65625
Sabrina Ionescu,G,11,30,899,352,30,11.7,37.9,76297,0.366666667
Sami Whitcomb,G,11,30,843,351,28.1,11.7,47.3,150350,0.366666667
Allie Quigley,G,11,26,635,343,24.4,13.2,44.8,135000,0.423076923
Riquna Williams,G,9,32,833,337,26,10.5,44.4,145000,0.28125
Dearica Hamby,F,9,29,710,337,24.5,11.6,54.5,142800,0.310344828
Courtney Vandersloot,G,9,32,977,336,30.5,10.5,43.3,195000,0.28125
Tiffany Mitchell,G,19,28,765,336,27.3,12,42.1,148400,0.678571429
Jasmine Thomas,G,11,30,887,317,29.6,10.6,38.6,190000,0.366666667
Tiffany Hayes,G,19,21,595,308,28.3,14.7,43.8,215000,0.904761905
Candace Parker,F,19,23,615,306,26.7,13.3,45.8,195000,0.826086957
Isabelle Harrison,C,9,28,665,305,23.8,10.9,53.8,159000,0.321428571
Kia Nurse,G,11,32,835,304,26.1,9.5,35.9,73542,0.34375
Brittney Sykes,G,11,32,939,302,29.3,9.4,40.5,113300,0.34375
Sue Bird,G,11,30,832,299,27.7,10,43.1,72141,0.366666667
Allisha Gray,G,11,25,694,298,27.8,11.9,43.8,164800,0.44
Te'a Cooper,G,21,31,682,281,22,9.1,37.9,60471,0.677419355
Amanda Zahui B.,C,9,30,714,275,23.8,9.2,42.9,139000,0.3
Michaela Onyenwere,F,21,32,721,275,22.5,8.6,40.1,68552,0.65625
Nia Coffey,F,9,32,805,264,25.2,8.3,42.1,130000,0.28125
Odyssey Sims,G,21,30,753,261,25.1,8.7,37,119000,0.7
Nneka Ogwumike,F,32,18,570,261,31.7,14.5,53.2,196267,1
Monique Billings,F,9,31,739,252,23.8,8.1,49.5,140000,0.290322581
Brianna Turner,F,9,32,994,249,31.1,7.8,55.4,72141,0.28125
Diana Taurasi,G,11,16,455,243,28.4,15.2,36.6,228094,0.6875
Natisha Hiedeman,G,9,32,644,242,20.1,7.6,40,72141,0.28125
Crystal Dangerfield,G,21,31,623,238,20.1,7.7,38.8,67042,0.677419355
Danielle Robinson,G,11,24,659,237,27.5,9.9,41.7,155000,0.458333333
Natasha Cloud,G,9,27,852,234,31.6,8.7,38.9,185000,0.333333333
Kayla Thornton,F,21,31,857,233,27.6,7.5,42.1,107040,0.677419355
Myisha Hines-Allen,F,11,18,462,232,25.7,12.9,41.4,170000,0.611111111
Rebecca Allen,F,9,25,605,229,24.2,9.2,34.3,141000,0.36
Azura Stevens,F,9,30,590,221,19.7,7.4,50,140000,0.3
Mercedes Russell,C,11,30,740,220,24.7,7.3,61.7,160000,0.366666667
Layshia Clarendon,G,9,21,540,218,25.7,10.4,51.7,90000,0.428571429
Crystal Bradford,G,9,24,440,211,18.3,8.8,42.9,58710,0.375
Victoria Vivians,G,21,31,661,211,21.3,6.8,33.3,72141,0.677419355
Natasha Howard,F,19,13,357,210,27.5,16.2,49.4,221450,1
Satou Sabally,F,11,17,423,203,24.9,11.9,41.8,76297,0.647058824
Briann January,G,21,29,877,202,30.2,7,42.5,140000,0.724137931
Ezi Magbegor,C,21,30,456,200,15.2,6.7,50.6,60471,0.7
Theresa Plaisance,F,9,31,559,199,18,6.4,35.1,70040,0.290322581
Leilani Mitchell,G,6,31,725,197,23.4,6.4,36,123500,0.193548387
Katie Lou Samuelson,G,9,27,566,189,21,7,45.6,72141,0.333333333
Aari McDonald,G,4,30,493,189,16.4,6.3,32.2,71441,0.133333333
Aerial Powers,F,11,14,309,188,22.1,13.4,42.7,196267,0.785714286
Elizabeth Williams,F,32,32,762,187,23.8,5.8,51.6,90000,1
Damiris Dantas,C,9,24,572,184,23.8,7.7,37.7,129150,0.375
Stefanie Dolson,C,21,24,480,179,20,7.5,48.6,160000,0.875
Kristi Toliver,G,11,19,525,178,27.6,9.4,41.4,196100,0.578947368
Jantel Lavender,C,9,27,539,174,20,6.4,40.4,119000,0.333333333
Lindsay Allen,G,4,32,571,174,17.8,5.4,42.8,72141,0.125
Ruthy Hebard,F,4,30,505,173,16.8,5.8,52.9,73211,0.133333333
Shey Peddy,G,9,32,560,172,17.5,5.4,41.2,72141,0.28125
Stephanie Talbot,G,32,30,538,171,17.9,5.7,48.3,43326,1
Kylee Shook,F,4,30,567,170,18.9,5.7,46.7,67042,0.133333333
Sophie Cunningham,G,21,30,524,169,17.5,5.6,43.7,75000,0.7
Jordin Canada,G,6,29,542,168,18.7,5.8,38.9,98000,0.206896552
Epiphanny Prince,G,4,29,416,167,14.3,5.8,43.9,115000,0.137931034
Jazmine Jones,G,9,27,448,159,16.6,5.9,35.6,70127,0.333333333
Moriah Jefferson,G,9,29,500,158,17.2,5.4,44.9,180200,0.310344828
Chennedy Carter,G,11,11,280,156,25.5,14.2,45.5,76297,1
Bridget Carleton,G,4,32,618,153,19.3,4.8,40.1,72141,0.125
Jessica Breland,F,6,26,544,152,20.9,5.8,37.2,145000,0.230769231
Tyasha Harris,G,6,32,522,141,16.3,4.4,33.6,73211,0.1875
Tianna Hawkins,F,8,28,432,137,15.4,4.9,39.7,72141,0.285714286
Rachel Banham,G,6,27,341,135,12.6,5,39.5,72141,0.222222222
Cheyenne Parker,F,11,13,270,132,20.8,10.2,45.5,190550,0.846153846
Megan Walker,F,4,29,426,131,14.7,4.5,31.1,70127,0.137931034
Kia Vaughn,C,6,28,441,130,15.8,4.6,44.4,110000,0.214285714
Kaila Charles,G,6,30,488,129,16.3,4.3,36.8,67042,0.2
Shavonte Zellous,G,32,28,442,121,15.8,4.3,37.7,65000,1
Sydney Wiese,G,4,27,579,119,21.4,4.4,32.3,82400,0.148148148
Shatori Walker-Kimbrough,G,0,16,346,118,21.6,7.4,51.3,72141,0
Charli Collier,C,4,28,345,96,12.3,3.4,46.5,71441,0.142857143
Erica McCall,F,8,23,356,94,15.5,4.1,50,74000,0.347826087
Candice Dupree,F,6,16,260,94,16.3,5.9,43.6,119500,0.375
Dana Evans,G,32,23,197,90,8.6,3.9,35.6,62774,1
Reshanda Gray,F,6,15,211,88,14.1,5.9,53.1,41965,0.4
Emma Cannon,F,4,12,220,83,18.3,6.9,44.3,80000,0.333333333
Bria Holmes,G,0,17,312,83,18.4,4.9,32.6,130000,0
Bella Alarie,F,32,31,407,81,13.1,2.6,50,73211,1
Arella Guirantes,G,0,25,291,79,11.6,3.2,27.4,62774,0
Natalie Achonwa,F,32,21,253,77,12,3.7,42.6,160000,1
DiDi Richards,G,8,31,346,70,11.2,2.3,42.2,62774,0.258064516
DiJonai Carrington,G,32,24,221,68,9.2,2.8,32.9,62774,1
Kennedy Burke,G,0,23,176,66,7.7,2.9,44.6,72141,0
Shekinna Stricklen,G,0,24,236,60,9.8,2.5,25.9,175000,0
Beatrice Mompremier,F,8,32,275,57,8.6,1.8,49.1,60471,0.25
Leaonna Odom,F,32,18,207,56,11.5,3.1,46.7,60471,1
Lauren Cox,F,0,15,210,53,14,3.5,41.3,60471,0
Chiney Ogwumike,F,6,7,134,49,19.1,7,40.8,116390,0.857142857
Ji-Su Park,F,32,25,223,49,8.9,2,32.7,46896,1
Jessica Shepard,F,8,22,231,45,10.5,2,36.4,60471,0.363636364
Megan Gustafson,F,0,11,109,44,9.9,4,59.4,72141,0
Karlie Samuelson,G,8,11,174,42,15.8,3.8,38.2,72141,0.727272727
Elena Delle Donne,F,11,3,52,41,17.3,13.7,48.1,227900,1
Awak Kuier,F,8,16,142,38,8.9,2.4,30.8,71441,0.5
Kysre Gondrezick,G,0,19,173,36,9.1,1.9,28.3,70040,0
Bernadett Hatar,C,32,7,106,34,15.1,4.9,48.3,58710,1
Lexie Brown,G,32,17,162,28,9.5,1.6,26.3,47930,1
Kristine Anigwe,F,0,7,106,27,15.1,3.9,39.1,44207,0
Stephanie Jones,F,0,18,99,25,5.5,1.4,41.4,91737,0
Kiara Leslie,G,0,9,86,25,9.6,2.8,33.3,29664,0
Destiny Slocum,G,0,21,133,22,6.3,1,31.8,62774,0
Bria Hartley,G,32,6,51,22,8.5,3.7,56.3,196000,1
Kiah Stokes,C,8,15,308,22,20.5,1.5,58.8,115000,0.533333333
Blake Dietrick,G,0,9,141,21,15.7,2.3,29.6,20609,0
Alanna Smith,F,8,18,117,21,6.5,1.2,23.5,54809,0.444444444
Stephanie Watts,G,8,6,84,15,14,2.5,21.1,63751,1
Aaliyah Wilson,G,0,14,119,15,8.5,1.1,23.1,64375,0
Joyner Holmes,F,6,4,23,13,5.8,3.3,50,57000,1
Chelsey Perry,F,8,6,40,13,6.7,2.2,27.8,60471,1
Stella Johnson,G,0,6,31,12,5.2,2,37.5,29664,0
Alyssa Thomas,F,9,3,37,11,12.3,3.7,26.7,206000,1
Chelsea Dungee,G,0,14,64,8,4.6,0.6,17.6,68552,0
Shyla Heal,G,0,4,31,8,7.8,2,12.5,67208,0
Natasha Mack,F,0,3,16,6,5.3,2,66.7,60471,0
Kiana Williams,G,0,10,35,4,3.5,0.4,14.3,31095,0
Cierra Burdick,F,0,4,19,4,4.8,1,50,58480,0
Brittany Boyd-Jones,G,0,2,22,4,11,2,25,80800,0
Kalani Brown,C,0,1,5,2,5,2,33.3,75000,0
Jasmine Walker,F,0,2,20,0,10,0,0,68552,0
Jocelyn Willoughby,G,0,1,0,0,0,0,0,70127,0
Mikiah Herbert Harrigan,F,32,1,1,0,1,0,0,73211,1
Linnae Harper,G,0,1,5,0,5,0,0,60471,0
Jillian Alleyne,F,32,2,8,0,4,0,0,6798,1
Haley Gorecki,G,0,3,6,0,2,0,0,60471,0
Angel McCoughtry,F,0,1,0,0,0,0,0,117500,0
Aleah Goodman,G,0,1,3,0,3,0,0,1391,0